X,Y
81,248
97,198
17,37
59,179
3,7
51,103
1,3
75,154
15,50
98,102
93,281
14,44
28,30
34,73
6,14
67,139
63,190
55,56
99,202
77,158
81,84
55,115
93,190
86,260
84,88
79,239
30,94
62,188
80,162
77,232
51,155
97,100
6,21
85,88
89,91
88,180
98,297
80,243
25,77
1,5
71,75
52,105
52,161
15,16
27,56
90,183
37,40
17,55
89,181
76,232
69,139
37,78
38,118
93,283
76,80
34,104
22,68
80,241
4,9
77,232
51,56
81,83
100,303
54,163
37,112
21,65
1,4
77,232
75,154
91,187
46,93
20,62
89,269
94,192
63,129
62,126
36,74
70,215
58,176
74,78
78,157
2,11
89,180
88,181
23,28
43,47
82,249
18,58
67,204
90,92
72,145
42,85
0,3
15,19
77,80
35,40
84,254
57,172
89,268
4,11
